Ticker,lr_accuracy,lr_precision,rf_accuracy,rf_precision
FIX,0.6533393911858246,0.6490528414755733,0.6428895956383462,0.6345029239766082
TSLA,0.6465968586387435,0.6504347826086957,0.6352530541012217,0.630718954248366
CNP,0.6474329850068151,0.6487730061349694,0.6447069513857338,0.6563011456628478
DLTR,0.663789186733303,0.6711590296495957,0.6319854611540209,0.6303436714165969
WMS,0.657608695652174,0.6433915211970075,0.654891304347826,0.6292906178489702
HAS,0.6342571558382554,0.6283839212469237,0.6129032258064516,0.610648918469218
RHI,0.6551567469332121,0.6606291706387035,0.631531122217174,0.6262178919397697
TGT,0.6415265788278055,0.6349809885931559,0.6338028169014085,0.6210335448776065
WBA,0.6542480690595184,0.6517543859649123,0.631531122217174,0.6314387211367674
